symbol,name,sector
000001,平安银行,银行
000002,万科A,房地产
000063,中兴通讯,科技
000100,TCL科技,科技
000157,中联重科,机械设备
000166,申万宏源,证券
000301,东方盛虹,化工
000333,美的集团,家电
000338,潍柴动力,汽车
000408,藏格矿业,矿业
000425,徐工机械,机械设备
000538,云南白药,医药
000568,泸州老窖,白酒
000596,古井贡酒,白酒
000617,中油资本,石油化工
000625,长安汽车,汽车
000630,铜陵有色,有色金属
000651,格力电器,家电
000661,长春高新,医药
000708,中信特钢,钢铁
000725,京东方A,电子
000768,中航西飞,军工
000776,广发证券,证券
000786,北新建材,建材
000792,盐湖股份,有色金属
000807,云铝股份,有色金属
000858,五 粮 液,
000876,新 希 望,
000895,双汇发展,食品饮料
000938,紫光股份,科技
000963,华东医药,医药
000975,山金国际,矿业
000977,浪潮信息,科技
000983,山西焦煤,煤炭
000999,华润三九,医药
001391,国货航,交通运输
001965,招商公路,交通运输
001979,招商蛇口,房地产
002001,新和成,化工
002027,分众传媒,传媒
002028,思源电气,电力设备
002049,紫光国微,半导体
002050,三花智控,电力设备
002074,国轩高科,电力设备
002142,宁波银行,银行
002179,中航光电,军工
002230,科大讯飞,计算机
002236,大华股份,电子
002241,歌尔股份,电子
002252,上海莱士,医药
002304,洋河股份,白酒
002311,海大集团,农业
002352,顺丰控股,交通运输
002371,北方华创,半导体
002384,东山精密,电子
002415,海康威视,电子
002422,科伦药业,医药
002459,晶澳科技,科技
002460,赣锋锂业,有色金属
002463,沪电股份,电子
002466,天齐锂业,有色金属
002475,立讯精密,电子
002493,荣盛石化,石油化工
002594,比亚迪,汽车
002600,领益智造,电子
002601,龙佰集团,化工
002625,光启技术,军工
002648,卫星化学,化工
002709,天赐材料,化工
002714,牧原股份,农业
002736,国信证券,证券
002916,深南电路,电子
002920,德赛西威,汽车
002938,鹏鼎控股,电子
003816,中国广核,电力
300014,亿纬锂能,有色金属
300015,爱尔眼科,医药
300033,同花顺,证券
300059,东方财富,证券
300122,智飞生物,医药
300124,汇川技术,电力设备
300251,光线传媒,传媒
300274,阳光电源,军工
300308,中际旭创,科技
300316,晶盛机电,电力设备
300347,泰格医药,医药
300394,天孚通信,科技
300408,三环集团,电子
300413,芒果超媒,传媒
300418,昆仑万维,科技
300433,蓝思科技,科技
300442,润泽科技,科技
300476,胜宏科技,科技
300498,温氏股份,农业
300502,新易盛,科技
300628,亿联网络,科技
300661,圣邦股份,半导体
300750,宁德时代,电力设备
300759,康龙化成,医药
300760,迈瑞医疗,医药
300782,卓胜微,电子
300803,指南针,科技
300832,新产业,医药
300866,安克创新,电子
300896,爱美客,医药
300979,华利集团,电子
300999,金龙鱼,食品饮料
301236,软通动力,计算机
301269,华大九天,半导体
302132,中航成飞,军工
600000,浦发银行,银行
600009,上海机场,建筑
600010,包钢股份,钢铁
600011,华能国际,电力
600015,华夏银行,银行
600016,民生银行,银行
600018,上港集团,交通运输
600019,宝钢股份,钢铁
600023,浙能电力,电力
600025,华能水电,电力
600026,中远海能,交通运输
600027,华电国际,电力
600028,中国石化,石油化工
600029,南方航空,交通运输
600030,中信证券,证券
600031,三一重工,机械设备
600036,招商银行,银行
600039,四川路桥,建筑
600048,保利发展,房地产
600050,中国联通,通信
600061,国投资本,金融
600066,宇通客车,汽车
600085,同仁堂,医药
600089,特变电工,电力设备
600104,上汽集团,汽车
600111,北方稀土,有色金属
600115,中国东航,交通运输
600150,中国船舶,船舶
600160,巨化股份,化工
600161,天坛生物,医药
600176,中国巨石,建材
600183,生益科技,科技
600188,兖矿能源,电力
600196,复星医药,医药
600219,南山铝业,有色金属
600233,圆通速递,交通运输
600276,恒瑞医药,医药
600309,万华化学,化工
600346,恒力石化,石油化工
600362,江西铜业,有色金属
600372,中航机载,军工
600377,宁沪高速,交通运输
600406,国电南瑞,电力设备
600415,小商品城,零售
600426,华鲁恒升,化工
600436,片仔癀,医药
600438,通威股份,电力设备
600460,士兰微,半导体
600482,中国动力,电力设备
600489,中金黄金,纺织服装
600515,海南机场,建筑
600519,贵州茅台,白酒
600522,中天科技,科技
600547,山东黄金,纺织服装
600570,恒生电子,电子
600584,长电科技,科技
600585,海螺水泥,建材
600588,用友网络,科技
600600,青岛啤酒,白酒
600660,福耀玻璃,建材
600674,川投能源,电力
600690,海尔智家,家电
600741,华域汽车,汽车
600760,中航沈飞,军工
600795,国电电力,电力
600803,新奥股份,电力
600809,山西汾酒,白酒
600845,宝信软件,科技
600875,东方电气,电力设备
600886,国投电力,电力
600887,伊利股份,食品饮料
600893,航发动力,军工
600900,长江电力,电力
600905,三峡能源,电力
600918,中泰证券,证券
600919,江苏银行,银行
600926,杭州银行,银行
600930,华电新能,电力
600938,中国海油,石油化工
600941,中国移动,通信
600958,东方证券,证券
600989,宝丰能源,电力
600999,招商证券,证券
601006,大秦铁路,建筑
601009,南京银行,银行
601012,隆基绿能,电力设备
601018,宁波港,交通运输
601021,春秋航空,交通运输
601058,赛轮轮胎,化工
601059,信达证券,证券
601066,中信建投,证券
601077,渝农商行,银行
601088,中国神华,电力
601100,恒立液压,机械设备
601111,中国国航,交通运输
601117,中国化学,化工
601127,赛力斯,汽车
601136,首创证券,证券
601138,工业富联,电子
601166,兴业银行,银行
601169,北京银行,银行
601186,中国铁建,建筑
601211,国泰海通,证券
601225,陕西煤业,煤炭
601229,上海银行,银行
